sno.,issue,timestamp,video_refference
1,clear,2024_03_03_18_06_58,C:\Users\Biancaa. R\Downloads\cluster\cluster_qt\mydrive\error2024_03_03_18_06_58.mp4
1,blurred,2024_03_03_18_08_38,C:\Users\Biancaa. R\Downloads\cluster\cluster_qt\mydrive\error2024_03_03_18_08_38.mp4
